Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
0.253	1.38	4.51	4.31	0.26	78.63	1.05	0.74	7.22	0.15	0.67	1.46	0.051	31.63	2.04	0.47	5411.5472	5.4115
0.280	0.73	4.03	4.34	0.00	31.93	0.93	0.55	7.95	0.16	0.74	0.47	0.122	36.60	3.70	0.39	5411.6082	5.4116
0.307	1.12	2.50	2.66	0.00	31.06	0.91	0.77	5.52	0.12	0.84	0.99	0.099	18.42	0.30	0.44	5411.669	5.4117
0.334	1.30	3.82	3.11	0.00	17.30	0.89	0.94	5.23	0.10	0.76	0.54	0.070	11.25	0.65	0.35	5411.7298	5.4117
0.361	1.27	2.61	2.71	0.00	11.39	0.95	0.84	5.50	0.10	0.81	0.53	0.016	8.05	0.47	0.31	5411.7904	5.4118
0.388	1.05	2.45	2.88	0.24	11.99	0.93	0.81	5.35	0.11	0.91	0.47	0.040	16.91	0.60	0.85	5411.8508	5.4119
0.415	1.03	3.37	2.18	0.11	8.55	0.86	0.89	5.08	0.13	0.57	0.65	0.098	6.58	0.30	0.29	5411.9111	5.4119
0.442	1.08	4.49	3.53	0.00	34.04	0.84	0.79	4.60	0.11	0.95	0.59	0.030	24.09	0.78	0.33	5411.9712	5.4120
0.469	1.30	4.77	5.93	0.11	25.25	0.83	0.90	4.65	0.11	1.10	1.03	0.008	14.27	0.58	0.34	5412.031	5.4120
0.496	0.92	2.70	1.66	0.13	15.08	0.80	1.07	5.82	0.14	0.73	0.35	0.040	8.26	0.58	0.37	5412.0901	5.4121
0.523	0.68	2.99	3.20	0.00	7.46	0.81	1.06	6.03	0.14	0.74	0.31	0.010	6.96	0.29	0.35	5412.1488	5.4121
0.550	1.51	3.23	4.54	0.73	22.48	0.85	1.13	6.18	0.12	0.79	0.56	0.041	30.35	1.05	0.28	5412.2071	5.4122
0.577	1.35	3.18	2.50	0.15	22.91	0.85	1.40	6.26	0.13	0.95	0.61	0.055	12.33	0.08	0.38	5412.2652	5.4123
0.604	1.06	2.40	2.18	0.00	14.84	0.78	1.04	5.64	0.13	0.87	0.69	0.044	11.91	0.85	0.41	5412.3233	5.4123
0.631	1.05	2.41	2.47	0.00	5.16	0.72	0.90	5.73	0.10	0.92	0.32	0.071	9.42	0.69	0.36	5412.3815	5.4124
0.658	0.93	3.31	2.07	0.00	7.84	0.83	0.95	6.15	0.15	1.25	0.35	0.031	17.71	0.80	0.38	5412.4399	5.4124
0.685	1.04	2.44	1.34	0.00	7.68	0.78	0.78	5.66	0.12	0.77	0.47	0.022	10.55	0.35	0.39	5412.4987	5.4125
0.712	1.45	2.93	3.10	0.12	9.67	0.83	0.96	6.24	0.16	0.83	0.55	0.016	8.19	0.74	0.45	5412.5581	5.4126
0.739	1.09	2.80	2.64	0.00	22.94	0.83	0.80	6.33	0.10	0.69	0.40	0.042	175.92	1.22	0.37	5412.6182	5.4126
0.766	0.78	1.90	2.56	0.12	16.32	0.93	0.55	7.47	0.15	0.54	0.31	0.027	9.23	0.40	0.39	5412.6792	5.4127
0.794	1.09	1.64	1.57	0.00	11.55	0.98	0.58	8.77	0.13	0.64	0.24	0.005	6.43	0.25	0.36	5412.7435	5.4127
0.821	2.03	6.79	12.66	0.24	17.62	0.92	0.73	8.16	0.13	0.97	1.41	0.001	38.00	0.61	0.42	5412.8068	5.4128
0.848	1.00	2.73	3.30	0.00	11.14	0.90	0.70	7.24	0.18	0.83	0.37	0.069	22.76	0.43	0.49	5412.8713	5.4129
0.875	1.81	6.41	11.80	0.00	19.08	0.91	0.48	6.63	0.11	0.82	0.96	0.030	202.93	0.71	0.32	5412.9374	5.4129
0.902	1.02	4.54	3.38	0.35	18.64	0.85	0.93	6.00	0.08	0.58	0.45	0.133	8.56	0.63	0.46	5413.0051	5.4130
0.929	1.31	3.03	1.53	0.11	11.84	0.84	1.28	4.69	0.08	0.60	0.44	0.056	7.53	0.51	0.27	5413.0738	5.4131
0.956	1.01	2.38	1.50	0.12	10.96	0.80	1.45	4.96	0.07	0.74	0.22	0.016	14.75	0.48	0.25	5413.1432	5.4131
0.983	1.08	2.76	2.43	0.00	14.38	0.82	1.33	4.78	0.08	0.68	0.61	0.032	10.29	0.11	0.25	5413.2136	5.4132
1.010	1.02	3.14	1.42	0.12	12.72	0.82	1.44	4.85	0.09	0.63	0.73	0.026	9.30	0.57	0.28	5413.2855	5.4133
1.037	1.12	4.08	3.50	0.12	17.44	0.79	1.37	4.70	0.11	0.52	0.54	0.005	8.16	0.90	0.32	5413.3592	5.4134
1.064	1.07	5.40	2.87	0.12	18.78	0.82	1.34	5.08	0.09	1.02	0.51	0.075	15.12	0.82	0.29	5413.4351	5.4134
1.091	0.92	3.51	1.32	0.00	16.36	0.81	1.45	4.94	0.11	0.58	0.61	0.015	2.80	0.34	0.34	5413.5136	5.4135
1.118	1.30	1.83	1.08	0.00	8.51	0.76	1.30	4.73	0.10	0.86	0.32	0.037	6.57	0.32	0.29	5413.5949	5.4136
1.145	1.24	4.16	4.71	0.00	20.62	0.85	1.31	6.00	0.10	0.90	0.59	0.023	9.71	0.50	0.36	5413.6795	5.4137
1.172	1.26	3.87	4.03	0.00	17.22	0.88	0.81	6.84	0.15	0.63	0.84	0.078	17.74	0.74	0.37	5413.7678	5.4138
1.199	1.09	3.48	1.45	0.00	17.35	0.85	1.08	6.40	0.14	0.73	0.30	0.027	8.94	0.14	0.38	5413.86	5.4139
1.226	0.93	2.03	2.08	0.00	12.15	0.87	0.91	6.04	0.13	0.76	0.25	0.005	4.01	0.55	0.33	5413.9567	5.4140
1.253	1.17	2.88	1.85	0.00	8.36	0.97	0.91	6.20	0.16	0.63	0.77	0.008	3.87	0.31	0.35	5414.062	5.4141
1.280	0.89	3.23	1.83	0.47	17.44	0.98	1.18	5.87	0.12	0.77	0.30	0.012	7.17	0.42	0.36	5414.1915	5.4142
1.307	1.08	1.97	1.18	0.22	13.36	0.92	1.09	5.28	0.13	1.02	0.33	0.001	3.85	0.63	0.29	5414.3385	5.4143
1.335	1.47	1.86	1.85	0.00	16.48	0.90	1.33	4.95	0.12	0.91	0.50	0.022	24.95	0.79	0.32	5414.4997	5.4145
1.362	0.74	2.75	1.40	0.00	13.27	0.84	1.24	4.94	0.11	0.57	0.38	0.015	10.79	0.77	0.35	5414.6538	5.4147
1.389	0.96	3.48	2.15	0.12	19.55	0.87	1.26	5.22	0.09	0.71	0.52	0.037	20.19	0.46	0.26	5414.7972	5.4148
1.416	0.91	2.61	1.30	0.00	9.02	0.84	1.33	5.59	0.10	0.66	0.23	0.012	19.27	0.25	0.36	5414.9206	5.4149
1.443	1.44	3.09	1.66	0.00	10.68	0.84	1.44	5.85	0.09	0.67	0.35	0.009	8.02	0.35	0.38	5415.015	5.4150
1.470	0.97	2.52	1.38	0.00	6.49	0.76	1.33	5.47	0.09	0.78	0.35	0.038	5.42	0.36	0.27	5415.0935	5.4151
1.497	0.84	5.19	1.68	0.00	11.74	0.73	1.34	4.97	0.10	0.81	0.79	0.030	108.45	0.17	0.24	5415.1672	5.4152
1.524	1.19	3.52	2.34	0.26	10.21	0.85	1.09	6.26	0.12	0.68	0.54	0.028	42.04	0.50	0.35	5415.2365	5.4152
1.551	1.01	4.98	6.62	0.12	12.03	0.78	1.00	5.79	0.11	0.80	0.52	0.052	9.77	0.40	0.33	5415.3017	5.4153
1.578	1.23	2.73	2.64	0.00	8.43	0.74	1.07	4.94	0.12	0.77	0.36	0.018	25.29	0.54	0.31	5415.3633	5.4154
1.605	1.31	4.31	2.49	0.12	13.12	0.80	1.14	5.93	0.13	0.82	0.87	0.000	13.80	0.65	0.38	5415.4215	5.4154
1.632	0.83	3.05	3.25	0.12	10.11	0.67	0.94	5.71	0.11	0.85	0.45	0.039	17.31	0.48	0.43	5415.4768	5.4155
1.659	1.10	2.27	2.39	0.12	16.08	0.69	0.84	6.33	0.11	0.94	0.40	0.015	13.58	0.82	0.35	5415.5296	5.4155
1.686	1.03	3.80	2.26	0.00	7.94	0.77	0.94	6.16	0.09	0.80	0.31	0.023	10.68	0.25	0.37	5415.5803	5.4156
1.713	1.24	4.65	5.34	0.00	14.57	0.76	0.95	6.04	0.16	0.87	0.51	0.045	11.45	0.61	0.36	5415.6292	5.4156
1.740	1.26	6.66	3.40	0.00	19.39	0.77	1.13	7.21	0.15	0.99	0.40	0.026	10.68	0.42	0.46	5415.6767	5.4157
