Age 	 GS
5.411420200000000477e+03	1.440089999999999861e+02
5.411444400000000314e+03	1.450920000000000130e+02
5.411468600000000151e+03	1.475699999999999932e+02
5.411492799999999988e+03	1.502909999999999968e+02
5.411516999999999825e+03	1.523870000000000005e+02
5.411541199999999662e+03	1.536920000000000073e+02
5.411565099999999802e+03	1.546760000000000161e+02
5.411589299999999639e+03	1.559209999999999923e+02
5.411613500000000386e+03	1.575409999999999968e+02
5.411637700000000223e+03	1.595010000000000048e+02
5.411661900000000060e+03	1.621129999999999995e+02
5.411685900000000402e+03	1.650340000000000202e+02
5.411710100000000239e+03	1.682159999999999798e+02
5.411734300000000076e+03	1.716680000000000064e+02
5.411758499999999913e+03	1.752829999999999870e+02
5.411782699999999750e+03	1.782459999999999809e+02
5.411806800000000294e+03	1.806840000000000259e+02
5.411830799999999726e+03	1.831909999999999741e+02
5.411854900000000271e+03	1.853700000000000045e+02
5.411878999999999905e+03	1.875840000000000032e+02
5.411903199999999742e+03	1.904020000000000152e+02
5.411927300000000287e+03	1.929950000000000045e+02
5.411951399999999921e+03	1.951340000000000146e+02
5.411975400000000263e+03	1.968790000000000191e+02
5.411999200000000201e+03	1.980159999999999911e+02
5.412023299999999836e+03	1.985879999999999939e+02
5.412047300000000178e+03	1.984659999999999798e+02
5.412071300000000520e+03	1.972729999999999961e+02
5.412095199999999750e+03	1.945590000000000259e+02
5.412118900000000394e+03	1.912299999999999898e+02
5.412142899999999827e+03	1.889209999999999923e+02
5.412166699999999764e+03	1.877409999999999854e+02
5.412190599999999904e+03	1.866119999999999948e+02
5.412214399999999841e+03	1.856759999999999877e+02
5.412238199999999779e+03	1.848449999999999989e+02
5.412261999999999716e+03	1.840120000000000005e+02
5.412285499999999956e+03	1.831500000000000057e+02
5.412309100000000399e+03	1.822150000000000034e+02
5.412332800000000134e+03	1.809609999999999843e+02
5.412356399999999667e+03	1.794920000000000186e+02
5.412380000000000109e+03	1.782129999999999939e+02
5.412403500000000349e+03	1.776479999999999961e+02
5.412426800000000185e+03	1.777220000000000084e+02
5.412450200000000223e+03	1.786040000000000134e+02
5.412473500000000058e+03	1.799840000000000089e+02
5.412496699999999691e+03	1.813520000000000039e+02
5.412519800000000032e+03	1.821990000000000123e+02
5.412542500000000473e+03	1.827669999999999959e+02
5.412565499999999702e+03	1.831829999999999927e+02
5.412588300000000345e+03	1.835300000000000011e+02
5.412611100000000079e+03	1.835059999999999718e+02
5.412633899999999812e+03	1.833520000000000039e+02
5.412656600000000253e+03	1.833720000000000141e+02
5.412679299999999785e+03	1.833079999999999927e+02
5.412701699999999619e+03	1.831020000000000039e+02
5.412724400000000060e+03	1.829290000000000020e+02
5.412746999999999389e+03	1.836470000000000198e+02
5.412769699999999830e+03	1.854940000000000282e+02
5.412792400000000271e+03	1.885759999999999934e+02
5.412814900000000307e+03	1.916859999999999786e+02
5.412837599999999838e+03	1.936419999999999959e+02
5.412860400000000482e+03	1.947669999999999959e+02
5.412883300000000418e+03	1.959079999999999870e+02
5.412906200000000354e+03	1.967549999999999955e+02
5.412929200000000492e+03	1.971829999999999927e+02
5.412952299999999923e+03	1.970349999999999966e+02
5.412975300000000061e+03	1.969009999999999820e+02
5.412998599999999897e+03	1.967790000000000248e+02
5.413021999999999935e+03	1.971220000000000141e+02
5.413045500000000175e+03	1.978209999999999980e+02
5.413069199999999910e+03	1.986220000000000141e+02
5.413093000000000757e+03	1.988190000000000168e+02
5.413116799999999785e+03	1.981399999999999864e+02
5.413140900000000329e+03	1.971229999999999905e+02
5.413165200000000368e+03	1.954759999999999991e+02
5.413189699999999903e+03	1.932909999999999968e+02
5.413214399999999841e+03	1.915979999999999848e+02
5.413239300000000185e+03	1.904320000000000164e+02
5.413264199999999619e+03	1.900629999999999882e+02
5.413289499999999862e+03	1.900590000000000259e+02
5.413315099999999802e+03	1.901520000000000152e+02
5.413340900000000147e+03	1.900300000000000011e+02
5.413366899999999987e+03	1.893329999999999984e+02
5.413393200000000434e+03	1.884809999999999945e+02
5.413419600000000173e+03	1.876059999999999945e+02
5.413446300000000520e+03	1.876040000000000134e+02
5.413473200000000361e+03	1.880409999999999968e+02
5.413500100000000202e+03	1.890359999999999729e+02
5.413527200000000448e+03	1.902520000000000095e+02
5.413554200000000492e+03	1.919420000000000073e+02
5.413581600000000435e+03	1.939869999999999948e+02
5.413609199999999873e+03	1.957820000000000107e+02
5.413636999999999716e+03	1.961009999999999991e+02
5.413665100000000166e+03	1.954180000000000064e+02
5.413693400000000111e+03	1.930120000000000005e+02
5.413721700000000055e+03	1.906320000000000050e+02
