Age 	GR
5412	0.4445
5413	0.4445
5414	0.3387
5415	0.2011
5416	0.4868
5417	0.5927
5418	0.3704
5419	0.1799
5420	0.3281
5421	0.4233
5422	0.5186
5423	0.1376
5424	0.2328
5425	0.2646
5426	0.7091
5427	0.6879
5428	0.4339
5429	0.4551
5430	0.5186
5431	0.5609
5432	0.3069
5433	0.2752
5434	0.2328
5435	0.3387
5436	0.4551
5437	0.5503
5438	0.5186
5439	0.4868
5440	0.5186
5441	0.0953
5442	0.4127
5443	0.1799
5444	0.18
5445	0.7408
5446	0.3704
5447	0.4022
5448	0.3598
5449	0.8784
5450	0.381
5451	0.254
5452	0.4339
5453	0.381
5454	0.3387
5455	0.2963
5456	0.2329
5457	0.6138
5458	0.9631
5459	0.2646
5460	0.3492
5461	0.3069
5462	0.6668
5463	0.5397
5464	0.4022
5465	0.3175
5466	0.254
5467	0.2434
5468	0.1164
5469	0.0953
5470	0.3492
5471	0.5504
5472	0.3281
5473	0.3704
5474	0.455
5475	0.18
5476	0.1905
5477	0.3281
5478	0.508
5479	0.3704
5480	0.1058
5481	0.2963
5482	0.307
5483	0.4868
5484	0.1587
5485	0.6563
5486	0.4974
5487	0.1905
5488	0.381
5489	0.1481
5490	0.2435
5491	0.4656
5492	0.6456
5493	0.5186
5494	0.3492
5495	0.2858
5496	0.3281
5497	0.2116
5498	0.1694
5499	0.9631
5500	0.6667
5501	0.3916
5502	0.5398
5503	0.6773
5504	0.4022
5505	0.3069
5506	0.2646
5507	0.2116
5508	0.4234
5509	0.3069
5510	0.2751
5511	0.4445
5512	0.4234
5513	0.3386
5514	0.3599
5515	0.254
5516	0.2963
5517	0.4233
5518	0.3281
5519	0.0953
5520	0.1481
5521	0.3387
5522	0.2328
5523	0.4128
5524	0.2011
5525	0.3598
5526	0.1693
5527	0.3175
5528	0.381
5529	0.2752
5530	0.5397
5531	0.4128
5532	0.4022
5533	0.1481
5534	0.4022
5535	0.2646
5536	0.2752
5537	0.2963
5538	0.3492
5539	0.4128
5540	0.3598
5541	0.2223
5542	0.201
5543	0.1376
5544	0.3069
5545	0.2223
5546	0.1376
5547	0.1905
5548	0.2117
5549	0.1799
5550	0.4551
5551	0.3492
5552	0.3069
5553	0.1164
5554	0.2964
5555	0.254
5556	0.2857
5557	0.4022
5558	0.4127
5559	0.2435
5560	0.2116
5561	0.3916
5562	0.2858
5563	0.1799
5564	0.201
5565	0.7938
5566	0.4022
5567	0.6244
5568	0.1376
5569	0.6879
5570	0.7091
5571	0.2646
5572	0.7408
5573	0.2857
5574	0.7938
5575	0.381
5576	0.5397
5577	0.635
5578	0.2011
5579	0.8785
5580	0.3598
5581	0.2223
5582	0.1905
5583	0.3598
5584	0.3281
5585	0.254
5586	0.2963
5587	0.2329
5588	0.1481
5589	0.1376
5590	0.2328
5591	0.2858
5592	0.0953
5593	0.4021
5594	0.1694
5595	0.6773
5596	0.1587
5597	0.3281
5598	0.2858
5599	0.2116
5600	0.1164
5601	0.1165
5602	0.1058
5603	0.0847
5604	0.1375
5605	0.18
5606	0.2328
5607	0.3916
5608	0.3387
5609	0.2328
5610	0.5397
5611	0.4551
5612	0.4339
